220	220	150	150	150	150	150	220	220	220	220	220	220	220	220	50	50	50	220	220
220	150	150	150	150	150	150	0	0	0	0	0	100	100	0	50	50	50	220	220
220	150	150	0	100	150	150	0	0	0	0	0	100	100	0	50	50	50	220	220
150	150	150	0	100	100	100	100	0	0	100	0	220	0	0	50	50	220	220	220
150	100	0	0	220	220	220	100	0	0	100	0	220	0	0	50	50	220	220	220
150	100	0	0	220	220	220	100	0	0	100	0	220	50	100	100	100	100	220	220
150	100	100	100	220	100	220	100	0	0	0	100	220	50	50	100	100	220	220	220
150	150	150	100	220	100	220	100	100	100	100	100	220	50	50	100	100	220	220	220
150	150	150	100	100	100	100	100	50	50	50	100	220	50	50	100	100	220	220	220
220	50	0	100	100	100	100	50	50	50	50	50	220	220	220	100	100	100	100	220
220	50	0	100	100	50	100	50	50	50	100	50	220	1	220	100	50	50	50	220
220	50	0	0	0	50	50	50	50	50	50	50	220	1	220	100	50	50	50	220
220	50	0	0	0	50	50	50	50	50	50	220	220	220	220	220	50	50	50	220
220	50	0	0	0	50	50	50	50	50	100	0	220	220	220	220	50	50	50	220
220	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	100	220
220	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	100	100	220
220	50	50	50	50	50	50	50	50	50	100	100	50	50	50	50	100	220	220	220
220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220
220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220
220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220
